measurement_noise,observation_fraction,n,accuracy,accuracy_ci_low,accuracy_ci_high,same_time_snapshot_accuracy,same_time_snapshot_ci_low,same_time_snapshot_ci_high,balanced_accuracy,auroc,auroc_ci_low,auroc_ci_high,same_time_snapshot_auroc,same_time_snapshot_auroc_ci_low,same_time_snapshot_auroc_ci_high,mean_macro_dice,macro_dice_ci_low,macro_dice_ci_high,mean_macro_dice_nonempty_classes,macro_dice_nonempty_classes_ci_low,macro_dice_nonempty_classes_ci_high,mean_nrmse,nrmse_ci_low,nrmse_ci_high,mean_same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_ci_low,same_time_snapshot_macro_dice_ci_high,mean_same_time_snapshot_macro_dice_nonempty_classes,same_time_snapshot_macro_dice_nonempty_classes_ci_low,same_time_snapshot_macro_dice_nonempty_classes_ci_high,mean_same_time_snapshot_nrmse,same_time_snapshot_nrmse_ci_low,same_time_snapshot_nrmse_ci_high,mean_pixel_accuracy,median_correlation,median_correction_relative_error,median_coupling_absolute_error
0.02,0.3,160,0.95625,0.91875,0.9814062499999991,0.95625,0.925,0.9875,0.956066291432145,0.9956222639149468,0.9892923910216955,0.9993749023284888,0.9970293933708568,0.9915572232645403,0.9996873045653534,0.9064629193065376,0.8862556221647011,0.926174048870717,0.8951700578029623,0.8732611753874463,0.9142958600680501,0.1371811357253881,0.1286670731802027,0.14536258049956904,0.812162979952887,0.7883040757516767,0.8345618611862432,0.7812417335380439,0.7593755728964778,0.8050174522832226,0.1385995428375683,0.1293111486335938,0.1478341867453873,0.93191437007874,0.9439277698935618,0.8841808723647273,0.4172945033468494
0.02,0.5,160,0.9875,0.96875,1.0,1.0,1.0,1.0,0.9871794871794872,1.0,1.0,1.0,1.0,1.0,1.0,0.9589400634065199,0.94549441699987,0.9709393547218241,0.9518167247098723,0.9368980715291915,0.9645503171860335,0.12461528837225877,0.11685675274814947,0.13201637092641774,0.9328581318231889,0.9142869242447196,0.9503589691523389,0.9227638264932206,0.9018490078514405,0.9412896068428762,0.07189407912536336,0.06340816022084692,0.08063579509538457,0.959953248031496,0.9668205795190792,0.8875860871209948,0.4142103983071166
0.05,0.05,160,0.85,0.7875,0.90625,0.81875,0.7625,0.875,0.8492808005003127,0.9241713570981863,0.8825208558802309,0.9592795886775762,0.9118198874296435,0.8663709519919168,0.949777019112035,0.5682743147258531,0.5407267693115237,0.5962133443466884,0.5558636465970391,0.5298012666440957,0.5826212435410685,0.33245770541228364,0.31146617093558676,0.35370055668250694,0.7175336142768082,0.7007342689885733,0.7343049675286294,0.6735809772876507,0.6628434914723557,0.684459060676288,0.22253203425542178,0.21973350279142395,0.22514916041421426,0.6433562992125984,0.5670154451880318,0.7530233429717648,0.1732493203176787
0.05,0.1,160,0.825,0.76875,0.88125,0.85,0.79359375,0.9,0.8242651657285803,0.941682301438399,0.9061693640894313,0.9698366243120228,0.9474671669793621,0.9148204835091182,0.973264540337711,0.7039274167292653,0.6790204535632969,0.729996618193268,0.6878460348066763,0.6633001678957601,0.7123022184599036,0.21854838409588453,0.2071615623691318,0.22922778938083146,0.7252470294505378,0.7075259017248615,0.743397234060904,0.6820334348680056,0.6703347042884779,0.6938862643618511,0.20784595731762784,0.2030659643395316,0.21238382394133615,0.7831815944881889,0.7789927357749342,0.7563901132770797,0.2070946960780813
0.05,0.15,160,0.8625,0.80625,0.9125,0.89375,0.84375,0.9375,0.8614759224515323,0.9551282051282052,0.9244459982788297,0.9796628070724456,0.9699812382739212,0.9461940180408293,0.9879394510915285,0.7536704690254153,0.7285128999493224,0.7793601359830493,0.7376581175842267,0.7139820678255212,0.7616768711895839,0.18935339377633245,0.1800546830629332,0.1996282896324118,0.7394801636878704,0.7218219785163608,0.7586824737868715,0.6987096194333541,0.6845264091677156,0.7144092515415116,0.19289961662907168,0.1864524496395616,0.19881902481790237,0.8423228346456693,0.8545402294759596,0.8096562407398695,0.2046899461339683
0.05,0.2,160,0.9125,0.86875,0.95625,0.9375,0.9,0.975,0.9118198874296435,0.9768605378361476,0.9557721874067179,0.9926591397902262,0.9831144465290806,0.966713380909295,0.9948240147817213,0.7704228363021379,0.745123225497529,0.796934439609724,0.7594985361284289,0.7338057038800447,0.7847946383192858,0.1720462057185098,0.16276804982586393,0.18158876589738326,0.7583267960879881,0.7385585408895613,0.7784794030057314,0.7198296358998875,0.7030137048920253,0.7374848433323044,0.17686530167297437,0.16876100949253364,0.18451429884566894,0.8778174212598426,0.8857889893960949,0.8704126298403646,0.2669030251142157
0.05,0.3,160,0.95625,0.91875,0.9875,0.95,0.9125,0.98125,0.956066291432145,0.9954659161976235,0.9884288608175141,0.9995294283502875,0.9967166979362101,0.9913939121146239,0.9996874511642444,0.8610585038378847,0.8364072519410171,0.8842081535502845,0.8526390258996518,0.8281756882815978,0.8756861224268611,0.1452286619783303,0.13728930115357105,0.15347110992613636,0.8148503100511111,0.7929840473196414,0.8363419659387971,0.78430779329331,0.7631711662820937,0.8069535502226722,0.14127749843464538,0.13252614772675492,0.1502729206098405,0.929232283464567,0.9286829943798942,0.8843092957100007,0.3724886633183178
0.05,0.5,160,0.99375,0.98125,1.0,1.0,1.0,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,0.9556602200466735,0.9411938012154324,0.9683619023617055,0.9485050752319161,0.932996520611984,0.961653234963744,0.12673111982218035,0.11962715337025674,0.13406684546742012,0.9327904362626945,0.9149921897656733,0.9491287738630431,0.9227536346475691,0.9036648576478757,0.9404579088389227,0.0777282480359153,0.06995112706029787,0.08551525871528845,0.960236220472441,0.9608129022797457,0.8869891747187738,0.29572789859517
0.1,0.05,160,0.8125,0.75625,0.86875,0.8125,0.75,0.86875,0.8123827392120075,0.8943089430894309,0.8402849225157184,0.9385094026518013,0.8968105065666041,0.8493022101454386,0.9393677158418308,0.4496995452228962,0.4231344964081786,0.47698464312819683,0.4445847044921045,0.41936321651951675,0.4713235005971148,0.4532972095315289,0.4245785368948838,0.48166846328627066,0.7007197265222322,0.6832796060392613,0.719500012405064,0.6600361990275255,0.6484810489205677,0.6717396668344692,0.22695366352537932,0.22412466974886117,0.22960861413108785,0.5278297244094488,0.375003845540564,0.8731613799886471,0.17767203446764868
0.1,0.1,160,0.825,0.76875,0.88125,0.85625,0.8,0.90625,0.8242651657285803,0.9385553470919324,0.9049067982456139,0.9682632969049906,0.9480925578486554,0.9159124183006536,0.9738916412601626,0.5886214230606559,0.5614000962178793,0.6172400624932872,0.579581364589081,0.5527435839608259,0.6078052539004923,0.30245450925961653,0.2842374248284098,0.3201941071629642,0.7245543755064184,0.7076882921836823,0.7419279274791241,0.6810038345423167,0.6693306011255739,0.6931576304560709,0.21232507992676136,0.2075073308686466,0.21699795651971518,0.6730437992125985,0.6299468794471001,0.8406670038993607,0.17631624464829004
