trial_id,outcome,correct,true_correction_rate,realized_correction_map_mean,realized_correction_map_sd,estimated_correction_rate,raw_correction_rate,sampled_k_error,realized_mean_k_error,true_coupling,estimated_coupling,raw_coupling,coupling_error,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,any_coefficient_boundary_hit,macro_dice,macro_dice_nonempty_classes,nrmse
33,0,True,0.8030868758815708,0.8047415932583996,0.09258389039758885,0.08,-0.1516755414995792,-0.7230868758815708,-0.7247415932583996,0.1448560780474892,0.5712549724635546,0.5712549724635546,0.4263988944160654,True,False,False,False,True,0.9980069447133691,0.9980069447133691,0.16063781732432755
34,1,True,0.6651883111880073,0.6638712522535001,0.10924269365529533,0.08,-0.25021480399469276,-0.5851883111880073,-0.5838712522535001,0.1686478869684926,0.6,0.607542614772376,0.4313521130315074,True,False,False,True,True,0.9711286089238845,0.9566929133858267,0.17068050475775687
35,1,True,0.6142177907304676,0.6237271101882308,0.09016796544690255,0.08,-0.3660231449521004,-0.5342177907304676,-0.5437271101882308,0.08702740525967663,0.5757419097581711,0.5757419097581711,0.48871450449849446,True,False,False,False,True,0.9776860518445311,0.9665290777667965,0.15610941231365028
36,0,False,0.7597300474770231,0.7635238535160339,0.07549697268359276,0.7182864232530579,0.7182864232530579,-0.04144362422396519,-0.045237430262976,0.11798506413487289,0.0,-0.139984211159458,-0.11798506413487289,False,False,True,False,True,0.604102564102564,0.604102564102564,0.24823723289529315
37,0,True,0.609365658952553,0.6074129448258972,0.07514422197784794,0.08,-0.3327053141132569,-0.529365658952553,-0.5274129448258973,0.20954087580521666,0.6,0.6190135869696961,0.39045912419478335,True,False,False,True,True,0.9501357129656669,0.9501357129656669,0.11366525995178663
38,1,True,0.8514898304698462,0.8607193085515257,0.16446330687399904,0.08,-0.3063590008964003,-0.7714898304698462,-0.7807193085515257,0.10144728457069403,0.6,0.6811114828356615,0.49855271542930596,True,False,False,True,True,0.6574898785425102,0.6574898785425102,0.1331920191675245
39,1,True,1.023052742833511,1.0317181998326672,0.1191565353078817,0.08,-0.7579794232831528,-0.943052742833511,-0.9517181998326673,0.12470743464078211,0.6,1.1054097094979545,0.4752925653592179,True,False,False,True,True,0.6410547192576367,0.6410547192576367,0.11932813915440477
40,1,True,0.6080174888562264,0.606909022468259,0.1259980103632347,0.08,-0.3291614103904801,-0.5280174888562265,-0.526909022468259,0.20651307030054292,0.6,0.6377903895828486,0.3934869296994571,True,False,False,True,True,0.965878736211217,0.9488181043168256,0.1571216285679973
41,1,True,0.8945057331369841,0.8972655274039515,0.08961282199395507,0.5850006610034848,0.5850006610034848,-0.3095050721334993,-0.3122648664004667,0.11327901843976726,0.017638796301636547,0.017638796301636547,-0.09564022213813071,False,False,False,False,False,1.0,1.0,0.01549002087836692
42,0,True,1.0994267835099314,1.1019456137978878,0.10471689785204527,0.08,-0.2580333364151067,-1.0194267835099313,-1.0219456137978877,0.15392244014558498,0.6,0.8813749001090927,0.446077559854415,True,False,False,True,True,0.985922247469171,0.985922247469171,0.15338414287189545
43,1,True,0.779708249334427,0.7859632636993038,0.1611456836597344,0.1495189982325845,0.1495189982325845,-0.6301892511018424,-0.6364442654667193,0.22292843827154699,0.4615650346881349,0.4615650346881349,0.23863659641658794,False,False,False,False,False,0.9829363925869942,0.9744045888804914,0.14571950641455425
44,1,True,0.6569144525279944,0.6517644376084228,0.09273405464594894,0.5614753232031663,0.5614753232031663,-0.09543912932482812,-0.09028911440525655,0.17565535006077204,0.018600377095755127,0.018600377095755127,-0.15705497296501691,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.17874078263855706
