trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector,scenario,scenario_seed,forward_model,separation_scale
38,1,0,0.508925602078252,0.008925602078252014,0.490137281142899,0.5,0.6307865748489896,0.15318221021740627,2.8895761764648413,0.3097107261894114,0.010894746465154544,0.23514396349024722,0.6261169720393289,0.1466716610093929,0.1576966437122474,1.0932085384313386,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
39,1,1,0.5427138617566508,0.04271386175665085,0.5227214289920767,0.531496062992126,0.6961866844783157,0.22498044834109557,2.5106117381018596,0.17598034995255335,0.0077639047452508925,0.17989460096927112,0.6865750673489475,0.12168910067997532,0.27262457193378475,1.0375505795859845,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
40,1,0,0.5066440019552766,0.006644001955276575,0.4442988205477122,0.468503937007874,0.8058596806378399,0.09626708410562687,1.5703136939317417,0.24507256682283815,0.012916928927912614,0.16543265461259454,0.8019982318249681,0.13748743951642792,0.40139109254375,1.1712849404036216,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
41,1,1,0.5517560924768018,0.05175609247680175,0.3740853353700645,0.3779527559055118,1.1849514560354448,0.23582087778752,1.3289547254930516,0.21940832834644328,0.013463778761324022,0.11059680809861942,1.1833850277345328,0.13784263536066133,0.7954161299492415,1.5595303321787193,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
42,0,1,0.4930700717928142,0.0069299282071857895,0.40776787793057634,0.43700787401574803,0.9788022296322597,0.08452686121774997,1.35046339097782,0.23735347594213954,0.008039399891860432,0.24360711940528595,0.9874298281108678,0.2382389522448126,0.26150867182030224,1.7085703078656203,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
43,0,0,0.3566806830536847,0.14331931694631528,0.38648119753068744,0.40551181102362205,1.145946750662859,0.16934768928275137,1.857760463397907,0.3334728815260864,0.005133696070925048,0.16344920078712566,1.1474399433989686,0.18975723908302955,0.4852850274020216,1.835383244770222,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
44,1,0,0.5046237511533478,0.004623751153347747,0.4281732471435872,0.43700787401574803,0.9924337543253889,0.24558049886107863,2.9439222890259718,0.1536514658271988,0.011615446838353978,0.1789785572404991,0.9958528262638486,0.174695993484396,0.5065640104155938,1.5271412665871897,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
45,1,1,0.504491499660968,0.004491499660967962,0.2384074095858957,0.24015748031496062,0.6323582226263467,0.11519817113680528,2.061598603614846,0.2712337443442801,0.007045054473324123,0.19220623228683084,0.6339403998209481,0.12731224260396948,0.21327664549034825,1.047802718299151,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
46,0,0,0.48302647336360094,0.016973526636399054,0.2948463115980773,0.2952755905511811,0.5824368663634711,0.25804435891334754,1.9203855919218533,0.2544979175702004,0.008915851617399603,0.22841639183873233,0.575925088627113,0.13206191424762428,0.14560921659086778,0.9776271940851183,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
47,0,0,0.491393350568476,0.00860664943152399,0.48305219689819334,0.5,1.0924512457726774,0.21417663997209643,2.789882254574896,0.18527001972348534,0.00461680088602558,0.21577210972233593,1.0918125774530618,0.24996055274762458,0.403375331135461,1.8240194768796738,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
48,0,0,0.46599653134710445,0.03400346865289554,0.4640975248657871,0.468503937007874,0.7359001142649467,0.11854942514407979,2.9017990274823293,0.22791816741916116,0.012296569653561393,0.25007664438817234,0.7372756756879317,0.1853463186168263,0.230255282912636,1.3304229686825586,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
49,0,0,0.3242954498981777,0.17570455010182232,0.38842473500772845,0.40551181102362205,0.5912444334988718,0.042510940010974316,1.3090372423656713,0.30485540747731443,0.011183342062221685,0.1496300875554251,0.5950658876982841,0.08808210768756267,0.3332304500128369,0.8621602917351173,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
50,1,1,0.5141721880687004,0.014172188068700303,0.2925349815389395,0.2952755905511811,1.2079091000828623,0.0956400831369164,2.7583431233855817,0.13468576753166045,0.011592794683329202,0.11879112868863806,1.2123372570654027,0.1457106287457617,0.7604935685283982,1.6409061954410569,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
51,0,0,0.3117005322483252,0.18829946775167478,0.4738180825019983,0.5,0.7324123561099314,0.11229057819682486,2.1029925281026554,0.1380096210608318,0.012780816339359256,0.1376408051235215,0.7367443685329936,0.09721581069842469,0.46103367665083106,1.005143544606158,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
52,1,0,0.5441921133634208,0.04419211336342075,0.32367791230234205,0.35039370078740156,0.9172267936010263,0.2269289838354347,2.690213564102983,0.16211045763097207,0.011880048155905031,0.13032382101866372,0.9268554566200548,0.12783751411667887,0.5552055813987119,1.3032870952406999,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
53,1,1,0.5072259975875214,0.007225997587521388,0.4888698825835932,0.5,1.0160695084810103,0.08477065442501114,2.2795614163107776,0.17294160134953715,0.012233315770832396,0.11786035775169648,1.0138739434704866,0.12584151924407597,0.6343130497325336,1.4043854764840924,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
54,0,0,0.3766032853526534,0.12339671464734658,0.40195691124946303,0.40551181102362205,1.061243812321882,0.25139478938197046,2.5433414251330615,0.17911623035420027,0.013542719324509907,0.13017720561824964,1.063380776438628,0.141020837431072,0.5714348868864483,1.4956214621255366,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
55,0,0,0.4833772839594744,0.0166227160405256,0.5890989691352887,0.594488188976378,0.9186673825740743,0.25411638611434145,1.3666384383275518,0.31841762591854444,0.013274953168600771,0.20360245930081494,0.8952854509432433,0.19797619444868678,0.27303860164008836,1.54735430597298,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
56,1,0,0.6326166810970338,0.13261668109703387,0.263390785537807,0.2677165354330709,1.0718552205478147,0.2318984181774735,2.721088697227175,0.23730911589105258,0.006406273260146051,0.1682529873861041,1.067987671967576,0.1867343410365801,0.5331895482687407,1.5628841620753633,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
57,1,1,0.549542608959096,0.04954260895909598,0.457193419498452,0.468503937007874,0.814115341737476,0.14673273662599615,1.5678965884940326,0.12593876397794057,0.012867054998516713,0.212806259650914,0.8125396355387676,0.17747321167182725,0.24226937975118296,1.4037434593791436,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
58,0,1,0.4958407748963703,0.004159225103629693,0.29864197326668623,0.3228346456692913,0.5061826462177164,0.265993362580206,2.0616490336445716,0.13827881352881213,0.01132289068100058,0.19097830558034634,0.5051006820846451,0.09689509500051177,0.14032617312690057,0.7795267625309812,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
59,1,0,0.5085920530840958,0.008592053084095776,0.4601652113895274,0.468503937007874,0.7568732381773028,0.07369105607025368,1.5076101280818912,0.33807982713911133,0.0066430078410387216,0.16279349447157587,0.7645000642346939,0.12422886259187654,0.3322254244071949,1.1244552437393658,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
60,1,1,0.5392539085086616,0.03925390850866161,0.31331816859583145,0.3228346456692913,0.6843656580092111,0.16370687609270393,2.229545347191212,0.21729922324791018,0.007784511919094518,0.21600866778751476,0.6986154683736199,0.15275119290326974,0.17109141450230278,1.1123080866797808,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
61,1,0,0.5098115481096992,0.00981154810969918,0.27531404594766673,0.2952755905511811,0.5300030854380009,0.21656310759944286,1.9453469299843327,0.31742862557665763,0.006966496024396839,0.20422714400245262,0.5272540251676405,0.10872468034028342,0.19472065559848872,0.8087482612420465,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
62,1,1,0.5183293126066719,0.018329312606671973,0.2421693498528883,0.2677165354330709,0.9436094576835603,0.27823698566935867,2.5785422564219176,0.20646079523909144,0.012813532961962623,0.12760340949127222,0.9524697307746455,0.12502677039128354,0.5673865535656022,1.2983701007539052,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
63,1,1,0.5515402593369169,0.051540259336916895,0.4484475222908759,0.468503937007874,0.6410968303886545,0.12164714392742185,2.306798211335657,0.12006613233995989,0.007576165054530396,0.10277989171105698,0.639329619139163,0.0658677058673841,0.46548806061039566,0.8394771495746703,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
64,1,1,0.5097848614670036,0.009784861467003601,0.4642859724047545,0.468503937007874,0.5932816739350973,0.07370454423956771,1.7862556524134883,0.22569532957593408,0.013487077222336219,0.16542577031416558,0.5996068532379791,0.10252650783435324,0.2728479226563967,0.9239493767215466,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
65,0,0,0.23504645768227744,0.26495354231772256,0.5385560197805259,0.562992125984252,1.1559753338163712,0.10072146766883626,3.0178997615793173,0.3373488473928271,0.009039206736929692,0.24930501549431602,1.1685934661803195,0.29224777489450576,0.2889938334540928,1.8941914073829766,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
66,1,1,0.5191825755246046,0.01918257552460459,0.2659007926984826,0.2677165354330709,0.7618122741546993,0.1522117555515652,2.9591892435462173,0.31385420603626857,0.012799882497646386,0.23455495673690294,0.7578814485993205,0.18948221121960596,0.2293500142955017,1.28677466451536,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
67,1,1,0.5259402934847258,0.025940293484725842,0.5132026725372959,0.531496062992126,0.7226952920926872,0.060038409169560436,1.5255422398155885,0.2738546606256021,0.011262054705106574,0.2103099791739889,0.7298648313183638,0.15832954799318838,0.1806738230231718,1.1287698578001917,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
68,0,1,0.4945679111112491,0.005432088888750882,0.5775857461733824,0.594488188976378,0.616509733526382,0.23027741957745476,2.7638334674281237,0.28840611551291223,0.01175577296475724,0.19052252577046364,0.6169363077980642,0.12051643759250358,0.2780405538957695,0.9630972981687962,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
