trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector
30,0,0,0.16397246141893262,0.3360275385810674,0.38526457275997533,0.40551181102362205,0.7409054380604987,0.22868350640915183,1.949963626695133,0.19042056006506372,0.0034309109884568087,0.1487747656898712,0.7374769892317374,0.11689471133618437,0.3944678463530786,1.031162174476392,1.0,0.0,0.0,0.0
31,0,0,0.444478351563853,0.055521648436147,0.3536500997352932,0.3779527559055118,1.146848914419457,0.07291708950669298,1.7270925099197045,0.20296575237499148,0.005418414545918897,0.12213295205187108,1.1514928954265413,0.1418842097493698,0.7404247264537454,1.6172483822913732,1.0,0.0,0.0,0.0
32,1,1,0.5399215185473372,0.03992151854733713,0.3312286966665252,0.35039370078740156,0.8559421796010247,0.0910119755357088,2.709505982012513,0.2494735297180095,0.00705030423203313,0.1399142143249878,0.8647384623226935,0.1204129173922171,0.4752443140105352,1.2038128712778242,1.0,0.0,0.0,1.0
33,0,0,0.45892285766119717,0.04107714233880285,0.23872763841618666,0.24015748031496062,0.8030868758815708,0.1448560780474892,2.0709952781364604,0.2309650480432865,0.01016429915537283,0.11092788130254355,0.8047415932583996,0.09258389039758885,0.5672995493997284,1.0859547476213713,1.0,0.0,0.0,0.0
34,1,1,0.5562240468530719,0.0562240468530719,0.21083483032103806,0.2125984251968504,0.6651883111880073,0.1686478869684926,2.781462632010878,0.2721517529140851,0.011141706054977586,0.16189503261367105,0.6638712522535001,0.10924269365529533,0.3391502419320223,1.025020232113083,1.0,0.0,0.0,1.0
35,1,1,0.5099990712711238,0.009999071271123735,0.3510263746550495,0.35039370078740156,0.6142177907304676,0.08702740525967663,2.193032726214825,0.2955836808735054,0.009530034469472627,0.13989808239120327,0.6237271101882308,0.09016796544690255,0.34464006895360483,0.8672597400015112,1.0,0.0,0.0,1.0
36,1,0,0.5369068959638871,0.03690689596388711,0.3650737103962922,0.3779527559055118,0.7597300474770231,0.11798506413487289,1.8725002910440622,0.16539830406141304,0.005763201076565758,0.10105339440343948,0.7635238535160339,0.07549697268359276,0.5417791894278857,0.9818660353649716,1.0,0.0,0.0,0.0
37,0,0,0.45129370569196325,0.048706294308036725,0.2819636480467347,0.2952755905511811,0.609365658952553,0.20954087580521666,1.6312615711498721,0.2863803042018274,0.011654084006987395,0.12382843225378054,0.6074129448258972,0.07514422197784794,0.3073208470704117,0.8185681668874584,1.0,0.0,0.0,0.0
38,1,1,0.5102228664770886,0.01022286647708859,0.5001992900309824,0.5,0.8514898304698462,0.10144728457069403,2.844678870056115,0.22650491594810912,0.005527900281756147,0.18871683663377004,0.8607193085515257,0.16446330687399904,0.3411120793098561,1.286620014392982,1.0,0.0,0.0,1.0
39,1,1,0.5546483185229654,0.05464831852296532,0.39705512989450154,0.40551181102362205,1.023052742833511,0.12470743464078211,1.7635978010576907,0.23848116498934918,0.003649719231674658,0.11837436291897839,1.0317181998326672,0.1191565353078817,0.6466023791235299,1.4200090325864692,1.0,0.0,0.0,1.0
