measurement_noise,observation_fraction,metric,n_pairs,movie_mean,same_time_snapshot_mean,paired_effect_movie_minus_snapshot,paired_effect_ci_low,paired_effect_ci_high,two_sided_p,holm_p_within_metric_30_cells
0.02,0.05,auroc,160,0.9199499687304565,0.9108818011257036,0.00906816760475293,-0.016952404986243706,0.03639307839458486,0.6523369157710572,1.0
0.02,0.1,accuracy,160,0.8375,0.85625,-0.01875,-0.05,0.00625,0.375,1.0
0.02,0.1,macro_dice,160,0.7631771077532326,0.7244766772811556,0.038700430472077066,0.009039485288781552,0.06782650216296163,0.007648405596749722,0.09178086716099666
0.02,0.1,nrmse,160,0.18617154246499035,0.20644312686450156,-0.02027158439951115,-0.026911601581416183,-0.013418150740581619,8.616280787074525e-10,1.0339536944489431e-08
0.02,0.1,auroc,160,0.9438711694809255,0.948405253283302,-0.004534083802376521,-0.020313772713032537,0.009654278020651936,0.7578105473631592,1.0
0.02,0.15,accuracy,160,0.8625,0.9,-0.0375,-0.075,-0.00625,0.0703125,1.0
0.02,0.15,macro_dice,160,0.7917521096812676,0.7381241451437756,0.05362796453749201,0.0239252748182489,0.08411779019658319,0.0008063078654798961,0.011288310116718546
0.02,0.15,nrmse,160,0.17152070472978892,0.1913168132296719,-0.019796108499882982,-0.027109220445877658,-0.012216354925516267,9.979557770157552e-09,1.0977513547173307e-07
0.02,0.15,auroc,160,0.9532520325203252,0.9709193245778611,-0.01766729205753592,-0.03185293344940087,-0.005934708854904767,0.1997000749812547,1.0
0.02,0.2,accuracy,160,0.9125,0.93125,-0.01875,-0.04375,0.0,0.25,1.0
0.02,0.2,macro_dice,160,0.8214537346226916,0.7575193654734063,0.06393436914928524,0.03529530209611892,0.09319719566078111,4.813722874789378e-05,0.0009146073462099818
0.02,0.2,nrmse,160,0.1585742302329253,0.17528379154324955,-0.016709561310324226,-0.024302589700730546,-0.009031271120851518,5.757232897963246e-06,5.181509608166921e-05
0.02,0.2,auroc,160,0.976078799249531,0.9821763602251408,-0.0060975609756097615,-0.014615065151039035,0.0006399605674794216,0.5701074731317171,1.0
0.02,0.3,accuracy,160,0.95625,0.95625,0.0,-0.01875,0.01875,1.0,1.0
0.02,0.3,macro_dice,160,0.9064629193065376,0.812162979952887,0.09429993935365058,0.06916497937612463,0.11786782999717908,2.1063866071233914e-12,5.265966517808478e-11
0.02,0.3,nrmse,160,0.1371811357253881,0.1385995428375683,-0.0014184071121802664,-0.009690224940109848,0.006782403695386017,0.5962264032461684,1.0
0.02,0.3,auroc,160,0.9956222639149468,0.9970293933708568,-0.001407129455910039,-0.005000019534302238,0.0012531328320801727,0.5176205948512872,1.0
0.02,0.5,accuracy,160,0.9875,1.0,-0.0125,-0.03125,0.0,0.5,1.0
0.02,0.5,macro_dice,160,0.9589400634065199,0.9328581318231889,0.026081931583331254,0.013856759706341752,0.04016347539337979,0.8223722756064009,1.0
0.02,0.5,nrmse,160,0.12461528837225877,0.07189407912536336,0.052721209246895405,0.04317789050626573,0.062082590236799344,9.135717157625518e-17,2.2839292894063796e-15
0.02,0.5,auroc,160,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.05,0.05,accuracy,160,0.85,0.81875,0.03125,-0.0125,0.075,0.266845703125,1.0
0.05,0.05,macro_dice,160,0.5682743147258531,0.7175336142768082,-0.14925929955095518,-0.1850286111630426,-0.11467310429607358,9.70236541915768e-14,2.5226150089809967e-12
0.05,0.05,nrmse,160,0.33245770541228364,0.22253203425542178,0.10992567115686187,0.09058354237346113,0.13016797417320727,1.54047722075423e-13,2.618811275282191e-12
0.05,0.05,auroc,160,0.9241713570981863,0.9118198874296435,0.012351469668542836,-0.01740866876198394,0.04330072134057872,0.60959760059985,1.0
0.05,0.1,accuracy,160,0.825,0.85,-0.025,-0.05,-0.00625,0.125,1.0
0.05,0.1,macro_dice,160,0.7039274167292653,0.7252470294505378,-0.021319612721272398,-0.05261193628436561,0.009477502724743254,0.3120717904560555,1.0
0.05,0.1,nrmse,160,0.21854838409588453,0.20784595731762784,0.010702426778256741,0.002148157873074449,0.018987863769644696,0.022137469620136473,0.11068734810068237
0.05,0.1,auroc,160,0.941682301438399,0.9474671669793621,-0.0057848655409630245,-0.019957102451288428,0.007619684663162942,0.7103224193951512,1.0
0.05,0.15,accuracy,160,0.8625,0.89375,-0.03125,-0.0625,0.0,0.125,1.0
0.05,0.15,macro_dice,160,0.7536704690254153,0.7394801636878704,0.014190305337544964,-0.015201287351695828,0.043161389524090515,0.1028487351790466,0.8227898814323727
0.05,0.15,nrmse,160,0.18935339377633245,0.19289961662907168,-0.003546222852739249,-0.009954495544772238,0.0032121067901915044,0.005996253826605123,0.04197377678623586
0.05,0.15,auroc,160,0.9551282051282052,0.9699812382739212,-0.014853033145716066,-0.02835437566901322,-0.004235144847412702,0.25793551612096977,1.0
0.05,0.2,accuracy,160,0.9125,0.9375,-0.025,-0.05,-0.00625,0.125,1.0
0.05,0.2,macro_dice,160,0.7704228363021379,0.7583267960879881,0.012096040214149695,-0.019376283787609815,0.04281914048798321,0.28658151816853894,1.0
0.05,0.2,nrmse,160,0.1720462057185098,0.17686530167297437,-0.004819095954464568,-0.011610146209675029,0.0019169783412985057,0.01470248814578032,0.08821492887468192
0.05,0.2,auroc,160,0.9768605378361476,0.9831144465290806,-0.0062539086929330745,-0.014375056161118843,0.0,0.5471132216945763,1.0
0.05,0.3,accuracy,160,0.95625,0.95,0.00625,0.0,0.01875,1.0,1.0
0.05,0.3,macro_dice,160,0.8610585038378847,0.8148503100511111,0.04620819378677334,0.017213381597759116,0.07363598961677018,0.001628201899644614,0.02116662469537998
0.05,0.3,nrmse,160,0.1452286619783303,0.14127749843464538,0.003951163543684901,-0.0040019543855474736,0.01184138999515489,0.6901482297664128,1.0
0.05,0.3,auroc,160,0.9954659161976235,0.9967166979362101,-0.001250781738586615,-0.004688232536333772,0.0012571353526632553,0.5108722819295176,1.0
0.05,0.5,accuracy,160,0.99375,1.0,-0.00625,-0.01875,0.0,1.0,1.0
0.05,0.5,macro_dice,160,0.9556602200466735,0.9327904362626945,0.022869783783978824,0.009332186103910475,0.036426930550923,0.8842321502633717,1.0
0.05,0.5,nrmse,160,0.12673111982218035,0.0777282480359153,0.04900287178626504,0.03989653745359668,0.05795684428102893,5.853227199098744e-16,1.3462422557927111e-14
0.05,0.5,auroc,160,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.1,0.05,accuracy,160,0.8125,0.8125,0.0,-0.05,0.05,1.0,1.0
0.1,0.05,macro_dice,160,0.4496995452228962,0.7007197265222322,-0.25102018129933606,-0.28409900477774674,-0.21605320347988657,2.9912580058276245e-22,8.67464821690011e-21
0.1,0.05,nrmse,160,0.4532972095315289,0.22695366352537932,0.2263435460061495,0.1980259326353622,0.25455113834969956,1.5337064429834015e-22,4.447748684651864e-21
0.1,0.05,auroc,160,0.8943089430894309,0.8968105065666041,-0.00250156347717323,-0.03483359374999994,0.02969610456857764,0.9302674331417146,1.0
0.1,0.1,accuracy,160,0.825,0.85625,-0.03125,-0.075,0.00625,0.2265625,1.0
0.1,0.1,macro_dice,160,0.5886214230606559,0.7245543755064184,-0.13593295244576248,-0.16937804057385003,-0.10187604289494608,1.0991309267905716e-09,2.5280011316183147e-08
0.1,0.1,nrmse,160,0.30245450925961653,0.21232507992676136,0.09012942933285514,0.07474596315077614,0.10602590801433964,5.977722470222613e-15,1.2553217187467488e-13
0.1,0.1,auroc,160,0.9385553470919324,0.9480925578486554,-0.00953721075672298,-0.02529890300911369,0.005782334408230411,0.5466133466633342,1.0
0.1,0.15,accuracy,160,0.8625,0.8875,-0.025,-0.05625,0.0,0.21875,1.0
0.1,0.15,macro_dice,160,0.6724663736363146,0.7387882058594546,-0.06632183222313995,-0.09642406853313198,-0.03683482453882752,0.04601156034641669,0.4141040431177502
0.1,0.15,nrmse,160,0.2385017230431429,0.19813244467905075,0.04036927836409212,0.030872208236131023,0.05016974535190493,5.024226105308037e-12,7.536339157962055e-11
0.1,0.15,auroc,160,0.9565353345841151,0.9709193245778611,-0.014383989993746016,-0.026723470772961833,-0.003908692933083158,0.28817795551112224,1.0
0.1,0.2,accuracy,160,0.91875,0.94375,-0.025,-0.05,-0.00625,0.125,1.0
0.1,0.2,macro_dice,160,0.7067462920418939,0.7593702029188383,-0.05262391087694453,-0.08203069481724799,-0.02167953626334835,0.023430195138056845,0.23430195138056845
0.1,0.2,nrmse,160,0.21182837357065934,0.1826455840183771,0.029182789552282234,0.021495705235506198,0.037047589783253114,3.1425783657132535e-10,4.118963302011821e-09
0.1,0.2,auroc,160,0.9777986241400876,0.983739837398374,-0.0059412132582864485,-0.014118257107997228,-0.00015234374999995547,0.6028492876780804,1.0
0.1,0.3,accuracy,160,0.95625,0.95,0.00625,0.0,0.01875,1.0,1.0
0.1,0.3,macro_dice,160,0.778865545015532,0.8164905922160297,-0.03762504720049799,-0.06981483075194274,-0.006520162695154447,0.10898769536666689,0.8227898814323727
0.1,0.3,nrmse,160,0.16840190377595743,0.14884000061992977,0.01956190315602768,0.012704040759393746,0.026890029280521068,6.467858380848359e-05,0.0005174286704678687
