scenario,scenario_seed,trial_id,measurement_noise,observation_fraction,observations_used,forward_model,separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector,outcome,q0,q_final,q_hat,prediction,same_time_snapshot_q,same_time_snapshot_prediction,true_correction_rate,realized_correction_map_mean,true_coupling,estimated_correction_rate,estimated_coupling,raw_correction_rate,raw_coupling,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,same_time_snapshot_rmse,same_time_snapshot_nrmse,same_time_snapshot_correlation,same_time_snapshot_pixel_accuracy,same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_nonempty_classes,rmse,nrmse,correlation,pixel_accuracy,macro_dice,macro_dice_nonempty_classes
shifted_holdout,20360721,108,0.05,0.3,67,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5446800123612463,0.999497341749382,0.4139202306308925,0,0.4785637717161466,0,0.9925930097987231,0.9783284307957825,0.24427540294783637,0.08,0.6,-0.15780862028569947,0.709720553980302,True,False,False,True,0.4908702346428275,0.24543511732141374,0.5283110855949961,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.5936949133062397,0.29684745665311985,0.437935553599673,0.7519685039370079,0.4937255556173423,0.4937255556173423
shifted_holdout,20360721,108,0.05,0.5,111,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5446800123612463,0.999497341749382,0.5921142837895325,1,0.5611563267915357,1,0.9925930097987231,0.9783284307957825,0.24427540294783637,0.08,0.6,-0.22833590697546188,0.6788748761240875,True,False,False,True,0.41407305819932466,0.20703652909966233,0.6563588712214582,0.7578740157480315,0.8246912021547462,0.7370368032321193,0.41560829946718236,0.20780414973359118,0.6736856564221069,0.7755905511811023,0.8392056907724857,0.7588085361587286
shifted_holdout,20360721,109,0.05,0.05,12,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,0.5984432489526343,1,0.5233275473582882,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.6078718841361721,0.0,0.6078718841361721,-0.25776546679329965,False,False,True,False,0.4525074947466909,0.22625374737334544,0.5934425423793525,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.4081450197048855,0.20407250985244274,0.653856182013975,0.7519685039370079,0.8214710066103255,0.7322065099154882
shifted_holdout,20360721,109,0.05,0.1,23,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,0.5275735457559743,1,0.5095213067432931,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.8382180424293079,0.0,0.8382180424293079,-0.06937049299722736,False,False,True,False,0.46293268794744236,0.23146634397372118,0.5796619811245664,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.4451753787712038,0.2225876893856019,0.6025673751845947,0.7598425196850394,0.8263247863247862,0.7394871794871795
shifted_holdout,20360721,109,0.05,0.15,34,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,0.4862849309626033,0,0.507436275356672,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.1690701264382637,0.4621151110125402,0.1690701264382637,0.4621151110125402,False,False,False,False,0.4643597643563442,0.2321798821781721,0.5733329709148431,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.5136744075126917,0.25683720375634583,0.507602011970809,0.7421259842519685,0.4846846846846847,0.4846846846846847
shifted_holdout,20360721,109,0.05,0.2,45,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,0.6621663181134381,1,0.5517385438424381,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.08,0.6,-0.13657443276872014,0.6438575215617308,True,False,False,True,0.422959227922953,0.2114796139614765,0.6405743070864167,0.7578740157480315,0.8246912021547462,0.7370368032321193,0.4507484874357164,0.2253742437178582,0.6194435804504709,0.7598425196850394,0.5105075885489702,0.5105075885489702
shifted_holdout,20360721,109,0.05,0.3,67,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,1.0685617562500949,1,0.6653664562624064,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.08,0.6,-0.7305553796397989,1.112154173106483,True,False,False,True,0.3176748969483296,0.1588374484741648,0.8017245488944299,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.26907564941160494,0.13453782470580247,0.8923204816608213,0.9468503937007874,0.6331317230525096,0.6331317230525096
shifted_holdout,20360721,109,0.05,0.5,111,linear_isotropic,1.0,0.0,0.0,1.0,1,0.5583332058766325,0.9999327593144867,1.2882093576846823,1,0.885761811275568,1,0.8823305590148343,0.8850286148317154,0.1547885462088879,0.08,0.6,-0.24646431612910413,0.66335878833957,True,False,False,True,0.11988073741471732,0.05994036870735866,0.9742787025927238,0.9862204724409449,0.9907876244324841,0.9861814366487264,0.31517230459800255,0.15758615229900128,0.9325246303629914,0.9744094488188977,0.9829363925869942,0.9744045888804914
shifted_holdout,20360721,110,0.05,0.05,12,linear_isotropic,1.0,0.0,0.0,1.0,1,0.4957141372328768,0.9999971130851674,0.4862737567412856,0,0.4988610633464944,0,0.512448581605261,0.5102224317889024,0.0673300951950496,0.4991184358045225,0.0,0.4991184358045225,-0.7200595768366794,False,False,True,False,0.47597883693902676,0.23798941846951338,0.5520331773937094,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.5128732687953297,0.25643663439766484,0.4988580801977274,0.7440944881889764,0.48329696155783114,0.48329696155783114
shifted_holdout,20360721,110,0.05,0.1,23,linear_isotropic,1.0,0.0,0.0,1.0,1,0.4957141372328768,0.9999971130851674,0.6211876574655538,1,0.515204159013733,1,0.512448581605261,0.5102224317889024,0.0673300951950496,0.08,0.6,-0.7197582717368395,0.8876949841060652,True,False,False,True,0.4589189645227845,0.22945948226139226,0.5817985671177901,0.7598425196850394,0.8263247863247862,0.7394871794871795,0.623052121990247,0.3115260609951235,0.48372788131080463,0.6220472440944882,0.4414871144909167,0.4414871144909167
