trial_id,measurement_noise,observation_fraction,outcome,same_time_snapshot_q,same_time_snapshot_prediction
5,0.15,0.1,0,0.48410508329151974,0
5,0.15,0.15,0,0.47847943346473226,0
5,0.15,0.2,0,0.4105630690196573,0
5,0.15,0.3,0,0.3347570769962748,0
5,0.15,0.5,0,0.1510825519860204,0
6,0.0,0.05,1,0.509566100529644,1
6,0.0,0.1,1,0.5472793492150491,1
6,0.0,0.15,1,0.5889541159465066,1
6,0.0,0.2,1,0.6343909418117201,1
6,0.0,0.3,1,0.7364706553241547,1
6,0.0,0.5,1,0.9107830213239925,1
6,0.02,0.05,1,0.5097810494069016,1
6,0.02,0.1,1,0.547267826147415,1
6,0.02,0.15,1,0.5882525204390442,1
6,0.02,0.2,1,0.6355914785945684,1
6,0.02,0.3,1,0.7369472200000703,1
6,0.02,0.5,1,0.912014174315939,1
6,0.05,0.05,1,0.507698212055996,1
6,0.05,0.1,1,0.5456913889123342,1
6,0.05,0.15,1,0.5884532958221551,1
6,0.05,0.2,1,0.6319276653835448,1
6,0.05,0.3,1,0.7383578289929174,1
6,0.05,0.5,1,0.910347056542019,1
6,0.1,0.05,1,0.5126223093787006,1
6,0.1,0.1,1,0.5500770091524074,1
6,0.1,0.15,1,0.5894637857034561,1
6,0.1,0.2,1,0.6268528421347984,1
6,0.1,0.3,1,0.7346128033241736,1
6,0.1,0.5,1,0.911565559240983,1
6,0.15,0.05,1,0.4948918186888469,0
6,0.15,0.1,1,0.5570012144966457,1
6,0.15,0.15,1,0.5877811477411539,1
6,0.15,0.2,1,0.63658077568912,1
6,0.15,0.3,1,0.7394361463280859,1
6,0.15,0.5,1,0.9053330454325684,1
7,0.0,0.05,0,0.5030025586167522,1
7,0.0,0.1,0,0.5112600442707377,1
7,0.0,0.15,0,0.48633923923918776,0
7,0.0,0.2,0,0.4770975598751393,0
7,0.0,0.3,0,0.44725280881240087,0
7,0.0,0.5,0,0.28692400643347826,0
7,0.02,0.05,0,0.5036095214251617,1
7,0.02,0.1,0,0.5120321157973406,1
7,0.02,0.15,0,0.48612908409464956,0
7,0.02,0.2,0,0.47745165939555523,0
7,0.02,0.3,0,0.44621212203167476,0
7,0.02,0.5,0,0.2875552086813636,0
7,0.05,0.05,0,0.5006479845042704,1
7,0.05,0.1,0,0.5110370236646583,1
7,0.05,0.15,0,0.48992075584961164,0
7,0.05,0.2,0,0.47370396597005104,0
7,0.05,0.3,0,0.44617727227609827,0
7,0.05,0.5,0,0.28929531036280065,0
7,0.1,0.05,0,0.4974729585982175,0
7,0.1,0.1,0,0.5136033191084388,1
7,0.1,0.15,0,0.4854394888758336,0
7,0.1,0.2,0,0.4721317463740687,0
7,0.1,0.3,0,0.4585172498406082,0
7,0.1,0.5,0,0.2813122078858522,0
7,0.15,0.05,0,0.4949887038901374,0
7,0.15,0.1,0,0.5104200238698885,1
7,0.15,0.15,0,0.47936788514989004,0
7,0.15,0.2,0,0.457076572751893,0
7,0.15,0.3,0,0.4532667690690258,0
7,0.15,0.5,0,0.29804146073731397,0
8,0.0,0.05,0,0.5093240123328676,1
8,0.0,0.1,0,0.5204549502752983,1
8,0.0,0.15,0,0.5385036972237609,1
8,0.0,0.2,0,0.5394244203508964,1
8,0.0,0.3,0,0.5173557978671258,1
8,0.0,0.5,0,0.3059026579251563,0
8,0.02,0.05,0,0.5108186405299958,1
8,0.02,0.1,0,0.5192393784439936,1
8,0.02,0.15,0,0.5381202907541515,1
8,0.02,0.2,0,0.5405441716805588,1
8,0.02,0.3,0,0.5188609927178608,1
8,0.02,0.5,0,0.30619405947055583,0
8,0.05,0.05,0,0.5117528474528196,1
8,0.05,0.1,0,0.52349635978437,1
8,0.05,0.15,0,0.539613778959538,1
8,0.05,0.2,0,0.5365947304922485,1
8,0.05,0.3,0,0.5145410366952451,1
8,0.05,0.5,0,0.307063164122698,0
8,0.1,0.05,0,0.5116280569541576,1
8,0.1,0.1,0,0.5208539372027633,1
8,0.1,0.15,0,0.5394947527817218,1
8,0.1,0.2,0,0.5355617580564063,1
8,0.1,0.3,0,0.5070406033703507,1
8,0.1,0.5,0,0.29988766394179045,0
8,0.15,0.05,0,0.5207300231872207,1
8,0.15,0.1,0,0.5152961019018973,1
8,0.15,0.15,0,0.5438244404290722,1
8,0.15,0.2,0,0.5387908135462898,1
8,0.15,0.3,0,0.507857807151655,1
8,0.15,0.5,0,0.3059992734830219,0
9,0.0,0.05,1,0.5765492885981723,1
9,0.0,0.1,1,0.6433536567837941,1
9,0.0,0.15,1,0.7081927655024437,1
9,0.0,0.2,1,0.7698021815963976,1
9,0.0,0.3,1,0.8700431332764287,1
9,0.0,0.5,1,0.9685540049071729,1
9,0.02,0.05,1,0.5778011610456867,1
9,0.02,0.1,1,0.6427702309620399,1
9,0.02,0.15,1,0.709473974681608,1
9,0.02,0.2,1,0.7681567460013383,1
9,0.02,0.3,1,0.8704111167762689,1
9,0.02,0.5,1,0.9691685700571873,1
9,0.05,0.05,1,0.5741788336085195,1
9,0.05,0.1,1,0.6439893154954842,1
9,0.05,0.15,1,0.7055340266629008,1
9,0.05,0.2,1,0.7698092551194171,1
9,0.05,0.3,1,0.8725070880430826,1
9,0.05,0.5,1,0.9693058058200708,1
9,0.1,0.05,1,0.5720506221237603,1
9,0.1,0.1,1,0.6476195172729764,1
9,0.1,0.15,1,0.7042305289632909,1
9,0.1,0.2,1,0.767562092984192,1
9,0.1,0.3,1,0.8702341592164605,1
9,0.1,0.5,1,0.9652216252745843,1
9,0.15,0.05,1,0.5726866405942967,1
9,0.15,0.1,1,0.6308804619616379,1
9,0.15,0.15,1,0.6936885180588551,1
9,0.15,0.2,1,0.7769200706239704,1
9,0.15,0.3,1,0.8791927517407144,1
9,0.15,0.5,1,0.968024153466549,1
10,0.0,0.05,0,0.44301286314506194,0
10,0.0,0.1,0,0.3709242017764969,0
10,0.0,0.15,0,0.2929486408249109,0
10,0.0,0.2,0,0.22595878263927197,0
10,0.0,0.3,0,0.12096797014847582,0
10,0.0,0.5,0,0.027998170448313854,0
10,0.02,0.05,0,0.4437235390198968,0
10,0.02,0.1,0,0.37147187667718923,0
10,0.02,0.15,0,0.29229864401955913,0
10,0.02,0.2,0,0.22472699435033475,0
10,0.02,0.3,0,0.12059717060733051,0
10,0.02,0.5,0,0.0277818390056204,0
10,0.05,0.05,0,0.44325203484298714,0
10,0.05,0.1,0,0.3712247252546825,0
10,0.05,0.15,0,0.2907956059341431,0
10,0.05,0.2,0,0.22380091365190102,0
10,0.05,0.3,0,0.12100194201897756,0
10,0.05,0.5,0,0.02495152843407447,0
10,0.1,0.05,0,0.44354308687051913,0
10,0.1,0.1,0,0.37181631037185486,0
10,0.1,0.15,0,0.2959943990710333,0
10,0.1,0.2,0,0.21674100857789658,0
10,0.1,0.3,0,0.11845426593074831,0
10,0.1,0.5,0,0.016775670327089747,0
10,0.15,0.05,0,0.4390534299928033,0
10,0.15,0.1,0,0.369893429443568,0
10,0.15,0.15,0,0.3008141733436176,0
10,0.15,0.2,0,0.22421781788824907,0
10,0.15,0.3,0,0.1202942923468101,0
10,0.15,0.5,0,0.02228125128163074,0
11,0.0,0.05,1,0.4760109368059198,0
11,0.0,0.1,1,0.4653760357185659,0
11,0.0,0.15,1,0.47063351580487855,0
11,0.0,0.2,1,0.48019134314846873,0
11,0.0,0.3,1,0.520562500009861,1
11,0.0,0.5,1,0.553429417099918,1
11,0.02,0.05,1,0.4749698351155646,0
