trial_id,measurement_noise,outcome,distance_from_separatrix,earliest_stable_fraction,confidence_margin
40,0.0,1,0.02346100475240055,0.1,0.15
40,0.02,1,0.02346100475240055,0.1,0.15
40,0.05,1,0.02346100475240055,0.1,0.15
40,0.1,1,0.02346100475240055,0.1,0.15
40,0.15,1,0.02346100475240055,0.1,0.15
41,0.0,1,0.3258271762429009,0.05,0.15
41,0.02,1,0.3258271762429009,0.05,0.15
41,0.05,1,0.3258271762429009,0.05,0.15
41,0.1,1,0.3258271762429009,0.05,0.15
41,0.15,1,0.3258271762429009,0.05,0.15
42,0.0,0,0.017377056203700496,0.1,0.15
42,0.02,0,0.017377056203700496,0.15,0.15
42,0.05,0,0.017377056203700496,0.1,0.15
42,0.1,0,0.017377056203700496,0.1,0.15
42,0.15,0,0.017377056203700496,0.15,0.15
43,0.0,1,0.13502248233524433,0.05,0.15
43,0.02,1,0.13502248233524433,0.05,0.15
43,0.05,1,0.13502248233524433,0.05,0.15
43,0.1,1,0.13502248233524433,0.05,0.15
43,0.15,1,0.13502248233524433,0.05,0.15
44,0.0,1,0.13109220082671674,0.5,0.15
44,0.02,1,0.13109220082671674,0.5,0.15
44,0.05,1,0.13109220082671674,0.5,0.15
44,0.1,1,0.13109220082671674,0.5,0.15
44,0.15,1,0.13109220082671674,0.3,0.15
45,0.0,1,0.08393121684766108,,0.15
45,0.02,1,0.08393121684766108,,0.15
45,0.05,1,0.08393121684766108,,0.15
45,0.1,1,0.08393121684766108,,0.15
45,0.15,1,0.08393121684766108,,0.15
46,0.0,0,0.06960968499060131,0.05,0.15
46,0.02,0,0.06960968499060131,0.05,0.15
46,0.05,0,0.06960968499060131,0.05,0.15
46,0.1,0,0.06960968499060131,0.05,0.15
46,0.15,0,0.06960968499060131,0.1,0.15
47,0.0,0,0.05856432607450962,0.2,0.15
47,0.02,0,0.05856432607450962,0.2,0.15
47,0.05,0,0.05856432607450962,0.2,0.15
47,0.1,0,0.05856432607450962,0.15,0.15
47,0.15,0,0.05856432607450962,0.15,0.15
48,0.0,0,0.0362043532919671,0.5,0.15
48,0.02,0,0.0362043532919671,0.5,0.15
48,0.05,0,0.0362043532919671,0.5,0.15
48,0.1,0,0.0362043532919671,0.5,0.15
48,0.15,0,0.0362043532919671,0.5,0.15
49,0.0,0,0.06069485510437382,0.05,0.15
49,0.02,0,0.06069485510437382,0.05,0.15
